title,r_title,actorList,runtime,director,grade,genre,audience,popularity,release_date,vote,overview
이너스페이스,이너스페이스,"['데니스 퀘이드', '마틴 숏', '멕 라이언']",110,죠 단테,PG,"['액션', '모험', '코미디']",[],32.418,1987-06-30,6.7,"자유분방한 성격의 공군 조종사 다크 펜델톤(데니스 퀘이드 분) 중위는 실리콘벨리에서 거행되는 극비 초소형화 실험 테스트의 비행선 조종사로서의 임무를 맡는다. 눈에 보이지 않을 정도로 소형화되어 잠수정을 타고 실험 대상인 흰 토끼의 내부로 투입되던 중 스크림쇼우와 마가렛 박사의 습격을 받는데, 연구소 소장인 오지는 다크가 들어있는 주사기를 들고 도망치고 잭(마틴 숏 분)의 엉덩이에 주사를 놓고 살해당한다. 잭의 몸 속에 들어간 다크은 당황해하는 잭에게 상"
리그레션,리그레션,"['엠마 왓슨', '에단 호크']",106,알레한드로 아메나바르,15세 관람가,['스릴러'],"18,057",32.361,2015-10-01,5.5,"전 세계를 미궁에 빠트린 충격 실화!  천사 같은 소녀 안젤라의 비밀을 밝혀라!  한 소녀(엠마 왓슨)가 아빠를 고발하는 사건이 발생한다. 하지만 피의자로 붙잡힌 아빠는 그 어떤 혐의도 부인하고, 사건을 담당하게 된 형사(에단 호크)는 수사를 진행할수록 두 사람의 진술이 거짓이 아님을 확신하게 된다. 피해자는 있지만 범인은 없는 사건, 그 과정에서 마을 모두가 비밀을 감추고 있음을 알게 되는데…  어긋난 욕망이 만들어낸 충격의 대반전!  안젤라의 비밀이"
세기의 매치,세기의 매치,"['토비 맥과이어', '리브 슈라이버', '피터 사스가드']",115,에드워드 즈윅,12세 관람가,['드라마'],"20,444",32.245,2015-09-16,6.7,"6세, 체스 입문  13세, 미국 체스계 제패  15세, 최연소 그랜드 마스터 타이틀 획득  체스 천재 ‘바비 피셔’의 목표는 오직 단 하나 국제무대에서 우승해 세계 정상에 등극하는 것!  이제 챔피언 자리까지 남은 사람은 단 한 명  무패 신화 체스 황제 ‘보리스 스파스키’를 넘어야만 한다!  드디어 전 세계의 시선이 집중된 역사적인 경기가 열리는 날, 마치 제 3차 세계대전을 방불케 하는 긴장감이 도는 무대 위 ‘바비 피셔’의 모습이 보이지 않는데…"
로우,로우,"['가렌스 마릴러', '엘라 룸프']",99,줄리아 듀코나우,청소년 관람불가,"['스릴러', '공포']",[],32.15,2016-11-11,7,부모와 언니까지 가족 모두가 채식주의자인 저스틴은 언니 알렉스가 다니는 대학 수의학과에 입학한다. 억지로 동물의 내장을 먹어야만 하는 혹독한 신고식 이후 저스틴은 자신도 모르게 고기에 대한 강렬한 식욕을 느끼게 되는데… 칸과 토론토의 관객들을 경악과 충격에 빠뜨렸던 줄리아 뒤쿠르노 감독의 피에 젖은 데뷔작.
2046,2046,"['장쯔이', '장첸', '기무라 타쿠야']",128,왕가위,청소년 관람불가,['드라마'],"123,062",32.137,2004-05-20,7.2,"2046, 사람들은 잃어버린 기억을 찾아 헤맨다…  첫 번째 사랑 이야기 ?  지독히 사랑했기에 다시는 사랑할 수 없는 남자와 절망적인 사랑의 열병에 빠져버린 여자  기자이자 작가인 초우(양조위)는 수리첸(장만옥)과의 기억을 되살리게 만드는 호텔 2046호에 머물려고 하지만, 그 방에선 묘령의 여인(유가령)이 스스로 목숨을 끊는 일이 발생해 할 수 없이 옆방인 2047호에 투숙하게 된다. 며칠 후, 2046호에 고급콜걸인 바이 링(장쯔이)이 투숙해 초우"
투 마더스,투 마더스,"['나오미 왓츠', '로빈 라이트', '자비에르 사무엘']",111,안느 퐁텐,청소년 관람불가,['드라마'],"71,351",32.136,2013-04-03,6.1,"어린 시절부터 자매처럼 늘 함께였던 릴(나오미 왓츠)과 로즈(로빈 라이트).  갑작스런 교통사고로 남편을 떠나 보낸 릴과 이안(자비에르 사무엘) 모자를 가족처럼 보살피는 로즈와 그녀의 아들 톰(제임스 프레체빌).  네 사람은 서로에게 없어서는 안 될 존재가 된다.  어느 날, 이안은 로즈에게 숨겨왔던 진심을 고백하고,  그녀는 매력적인 남자로 성장한 이안의 유혹을 뿌리 치지 못하고 키스를 받아들인다.  한편, 톰은 자신의 친구와 엄마의 관계를 목격한 뒤"
리핑 - 10개의 재앙,리핑 - 10개의 재앙,['힐러리 스웽크'],99,스티븐 홉킨스,15세 관람가,"['공포', 'SF', '스릴러']","656,652",32.107,2007-04-05,5.5,"가족이 비참하게 살해당한 사건을 겪은 후 종교에 대한 깊은 회의에 빠진 캐서린 윈터(힐러리 스웽크). 선교사로서의 활동을 접고 종교적인 현상을 과학적으로 증명해 명성을 얻은 그녀는 어느 날, 작은 마을에 나타난 10가지 재앙에 대한 조사를 의뢰 받는다. 마을사람들로부터 재앙의 원인으로 몰아쳐진 어린 소녀 로렌(안나소피아 롭)을 만난 후부터 캐서린은 점점 믿을 수 없는 사실들과 직면하게 된다. 그녀가 맹신하던 과학으로도 설명이 불가능하다는 걸 깨닫게 되면"
장난감이 살아있다,장난감이 살아있다,"['남도형', '김채하', '김태균']",91,후안 호세 캄파넬라,전체 관람가,"['애니메이션', '모험', '가족']","143,100",32.092,2013-07-18,6.1,"뭔가 특별한 일이 일어날 것 같은 어느 날, 눈물 한방울이 장난감에 떨어진 후 모든 것이 달라졌다. 타운에서 하나밖에 없는 테이블 축구 게임의 장난감들이 모두 깨어난 것. 캡틴 루닌, 골잡이 라면머리 날도, 쌍둥이 수비수 트윈, 음유시인 아트, 들어본 적 있는 느낌적 느낌 갓지성, 민머리 용병 레드까지.. 그런데 여긴 어디? 테이블 축구 게임기가 아닌 공원 벤치, 롤러코스터 꼭대기, 쓰레기 집합소 등 다양하고 엉뚱한 곳에서 깨어난 장난감들! 이들 앞에는"
난 지구 반대편 나라로 가버릴테야,난 지구 반대편 나라로 가버릴테야,"['벨라 손', '스티브 카렐', '제니퍼 가너']",81,미구엘 아테타,12세 관람가,"['코미디', '가족']",[],32.091,2014-10-08,6.1,"자신이 생각했을 떼 매일 운수가 나쁜 알렉산더 하루 하루 힘들게 치이면서 재내고 있다.그러나 아버지 벤, 어머니 켈리, 형 안토니, 그리고 누나 에밀리는 좋은 일만 생겨 알렉산더의 고통을 이해하지 못한다. 그러던 어느날 알렉산더는 생일날 혼자 소원을 비는데, 그 소원은 바로 가족들 모두 하루종일 불행하게 해달라는 것이다.  관연 그 소원이 정말 이루어질 수 있을지? 가족들의 엄청난 수난기"
화이트아웃,화이트아웃,['케이트 베킨세일'],101,도미닉 세나,청소년 관람불가,"['액션', '범죄', '드라마']",[],32.054,2009-09-09,5.4,"미국 연방 보안관 캐리 스테코(케이트 베킨세일)는 남극 연구시설인 아문센-스콧 기지에서 2년 째 근무 중이다. 그녀는 이제는 집으로 돌아가고 싶은 마음이 간절한 상태. 어느 날, 한 지질학자의 시체가 발견된다. 기지의 유일한 경찰이라고는 캐리 뿐. 남극 최초의 강력 범죄 살인 사건을 조사하게 된 캐리는 이 시체가 살해 당한 후, 비행기에서 던져졌을 것이라고 추측하게 된다. 하지만 남극의 겨울이 찾아오고 이제 남극 기지의 연구팀 전원이 철수해야 하는 상황"
