title,r_title,actorList,runtime,director,grade,genre,audience,popularity,release_date,vote,overview
적벽대전 1부 : 거대한 전쟁의 시작,[],[],[],[],[],[],[],31.94,2008-07-10,7.2,"위, 촉, 오 3국이 대립하던 서기 208년 중국.. 천하통일을 위해 중국대륙을 피로 물들여가던 ‘위’의 조조(장풍의)는 뛰어난 통치력과 막강한 군사력을 바탕으로 대륙의 반 이상을 차지하게 된다. 한편, 조조에게 쫓겨 퇴각에 퇴각을 거듭하던 ‘촉’의 유비군은 최후의 보루인 ‘신야성’마저 함락당하고, 손권(장첸)이 통치하는 ‘오’나라 인근 강남지역으로 피난을 떠난다. 하지만 조조에게 결코 물러서지 않겠다는 의지로 뭉친 유비군은 남은 병력으로 필사의 항쟁을"
레일웨이 맨,레일웨이 맨,"['콜린 퍼스', '니콜 키드먼', '제레미 어바인']",116,조나단 텝리츠키,15세 관람가,['드라마'],[],31.935,2013-12-26,6.9,"2차 세계대전 참전 용사이자 철도 애호가인 에릭 로맥스는 어느 날 열차에서 우연히 만난 패티라는 여인과 사랑에 빠지게 되고, 결혼에 성공한다. 그러나 행복도 잠시 전쟁의 후유증이 그를 괴롭히는데, 이에 패티는 그를 도와주기 위해 참전용사 핀레이를 찾아가 에릭의 충격적인 과거를 듣게 된다. 바로 전쟁 도중 에릭이 일본군의 포로가 되어 끔찍한 고문과 구타를 당한 것. 결국 핀레이는 힘들어하는 에릭에게 그를 고문했던 헌병대 장교 나가세의 행적을 알려주며, 복"
왕의 이름으로,왕의 이름으로 3,"['도미닉 퍼셀', '라리트사 파스칼레바', '바샤 라할']",86,우베 볼,15세 관람가,"['액션', '모험', '드라마']",[],31.88,2007-11-29,4.4,"사랑스런 아내, 아들과 함께 평범한 농부로 사는 파머(제이슨 스타뎀 분)는 어느 날 세상을 지배할 야욕에 찬 마법사 갤리언(레이 리오타 분)이 보낸 크러크 군단들이 마을을 습격하자 가족을 지키기 위해 싸우지만 아들은 죽고 아내는 납치당한다. 정복전쟁에 참가한 탓에 뒤늦게 도착한 왕과 왕의 군대에 불만을 느낀 파머는 콘레드 왕(버트 레이놀즈 분)의 제안을 거절하고 자신의 힘으로 아내를 구하고자 그의 스승인 노릭(론 펄만 분)과 함께 원정대를 만들어 크러그"
빌리 진 킹: 세기의 대결,빌리 진 킹: 세기의 대결,"['엠마 스톤', '스티브 카렐']",121,조나단 데이턴,15세 관람가,['코미디'],"20,138",31.834,2017-09-05,6.9,"“여자가 코트에 없으면 공은 누가 줍죠?”  변화의 바람이 거세던 1973년, 여자 테니스 랭킹 1위, 전 국민이 사랑하는 세기의 챔피언 ‘빌리’(엠마 스톤)는 남자 선수들과 같은 성과에도 그에 비해 터무니없이 적은 상금에 대한 보이콧으로 직접 세계여자테니스협회를 설립한다. 남성 중심 스포츠 업계의 냉대 속에서도 ‘빌리’와 동료들은 직접 발로 뛰며 협찬사를 모집, 자신들만의 대회를 개최하며 화제를 모은다.  세계를 뒤흔든 빅매치, 세상을 바꾼 도전  한"
프랑켄슈타인,빅터 프랑켄슈타인,"['다니엘 래드클리프', '제임스 맥어보이', '제시카 브라운 핀들레이']",110,폴 맥기건,15세 관람가,"['드라마', '공포', 'SF']",[],31.824,1931-11-21,7.5,"야심에 가득 찬 젊은 과학자 ‘프랑켄슈타인’은 곱추인 조수 ‘프리츠’와 함께 시체의 신체부위들을 절단해 괴물 인조인간을 만드는 실험을 계속한다. 한편, 프랑켄슈타인의 약혼녀인 ‘엘리자베스’는 약혼자가 시계탑 안에서 하고 있는 이상한 실험에 대해 불안해 하다, 실험을 막기 위해 의대 교수인 발드만 박사와 함께 시계탑을 찾아간다. 하지만 그녀가 도착했을 때, 번개를 맞은 괴물이 생명을 얻게 된다. 약혼녀의 설득에, 프랑켄슈타인은 괴물을 시계탑 속에 가두고,"
테이크다운,테이크다운,"['제임스 맥어보이', '마크 스트롱', '안드레아 라이즈보로']",99,에란 크리비,15세 관람가,"['액션', '범죄', '스릴러']","19,415",31.78,2013-03-15,5.8,"열혈형사 맥스(제임스 맥어보이)는 거물급 범죄자 제이콥(마크 스트롱)을 붙잡으려다 치명적인 총상을 입은 뼈아픈 과거가 있다.수년 후, 강도사건에 연루된 아들을 구하기 위해 해외에 은신해 있던 제이콥이 런던으로 돌아온다.미치도록 잡고 싶었던 적수 제이콥의 컴백은 맥스에게 있어 놓칠 수 없는 절호의 기회!쫓고 쫓기는 충돌과 대결이 이어지는 가운데, 맥스와 제이콥은 도시의 시스템 안에 존재하는 공통의 함정 속에 빠졌다는 것을 깨닫게 되는데…미치도록 잡고 싶은"
블랙 씨,블랙 씨,"['주드 로', '그리고리 도브리긴', '스쿳 맥네이리']",115,캐빈 맥도널드,R,"['모험', '스릴러']",[],31.74,2014-12-05,6.3,흑해에 침몰한 나치의 유보트안에 실려있는 황금을 발굴한 해군 출신의 잠수함 선장 로빈슨과 그의 동료들이 폐쇄된 잠수함에서 서로를 위협하게 되는 과정을 그린 스릴러
고양이의 보은,고양이의 보은,"['이케와키 치즈루', '하카마다 요시히코']",75,모리타 히로유키,전체 관람가,"['애니메이션', '모험', '판타지']",583,31.725,2002-07-19,7.2,17살의 평범한 여고생 하루는 매일 따분하기만 하고 즐거운 일이 하나도 없다. 어느 날 우연히 트럭에 치일 뻔한 고양이를 구해주면서부터 그녀의 일상은 변화를 맞는다. 하루가 구해준 고양이가 고양이 왕국의 룬 왕자라는 것. 그날 밤 하루의 집에 찾아온 고양이 떼는 자신들의 왕자를 구해준 보답으로 룬 왕자와 결혼해달라는 요청과 함께 앞으로는 행복한 일들만 일어날 것이라는 이상한 말을 남긴 채 사라진다. 얼마 후 고양이 왕국으로 초대된 하루는 고민 바쁜 일도
괴테스쿨의 사고뭉치들,괴테스쿨의 사고뭉치들,"['엘리아스 므바렉', '카롤리네 헤어퍼스', '카챠 리만']",119,보라 닥테킨,15세 관람가,['코미디'],"엘리아스 므바렉, 카롤리네 헤어퍼스, 카챠 리만, 제나..",31.725,2013-11-07,7.1,"교도소에서 막 출소한 제키(엘리아스 므바렉)는 훔친 돈다발을 묻어두었던 장소를 찾아가지만 이미 학교 건물이 들어서 있다. 포기할 수 없던 그는 어리버리해 보이는 여선생(카롤리네 헤어퍼스)을 속이고 학교에 임시교사로 취직하여 낮에는 교사로, 밤에는 땅굴을 파며 생활한다. 소위 꼴통 학교의 분위기는 점차 조금씩 변하게 되고 누구의 말도 듣지 않던 문제아들은 제키의 말을 듣고, 절대적으로 그를 따르게 된다. 뭔가 다른 이 선생님, 그의 매력에 모두 빠져들게 "
드래곤플라이,드래곤 플라이,"['코린 네멕', '도미니카 줄리엣']",84,조 니,15세 관람가,"['SF', '액션']",[],31.667,2002-02-22,6.5,시카고 메모리얼 병원의 응급의학과 과장이자 닥터인 조 대로우(Joe Darrow: 케빈 코스트너 분)는 해박한 의학 지식과 생사의 기로에 놓여있는 환자들의 생존 가능성을 판별해내는 능력 때문에 동료들과 환자들로부터 무척 존경받는 의사이다. 그러나 비극적인 사고로 그의 아내가 목숨을 잃자 그의 전문적인 의학 지식도 그에게 아무런 위안이 되지 못한다. 그의 아내 에밀리 대로우(Dr. Emily Darrow: 수잔나 톰슨 분)는 같은 병원의 소아과 종양학 전
